Дата	Количество	Сумма	Наименование
2025-03-08 13:21:00	1	132,76	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИИ ФОРТИУС 10ШТ ПЛЕНКА
2025-03-12 21:59:00	1	129,98	ЯЙЦО КУРИНОЕ 1 КАТЕГОРИЯ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-03-12 21:59:00	1	179,9	ШОКОЛАД ГОРЬКИЙ 70% КОРКУНОВ 90Г (1/14)
2025-03-22 21:00:00	1	199,98	КУРАГА PRIMFOOD 150Г
2025-03-22 21:00:00	1	139,98	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-03-30 20:57:00	1	217,18	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2025-04-04 18:42:00	1	559,99	КОНФЕТЫ ФЕРРЕРО РОШЕ ПРЕМИУМ 125Г ПЛ/УП. (1/6)
2025-04-09 21:45:00	2	279,96	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ДОМАШНЕЕ БЕЛОРЕЧЬЕ 10ШТ БОКС
2025-04-19 16:27:00	1	229,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2025-04-25 12:58:00	1	109,99	КЕКС ТОРТИНИ С КЛУБНИЧНЫМ ДЖЕМОМ МАХАРИШИ ПРОДАКТМС 200Г (1/16)
2025-04-25 12:58:00	1	269,98	ДЕСЕРТ ИЗ ЯБЛОК ПИКАНТА 370Г СТ/Б
2025-04-25 12:58:00	1	229,9	ПЕЧЕНЬЕ ЧОКОПАЙ ОРИОН ВИШНЯ 360Г
2025-04-29 21:40:00	1	229,99	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2025-04-29 21:40:00	1	179,9	ШОКОЛАД ГОРЬКИЙ 55% КОРКУНОВ 90Г (1/14)
2025-05-09 21:38:00	1	159,07	ЯЙЦО КУРИНОЕ ОТБОРНОЕ ФОРТИУС 15ШТ ПЛЕНКА
2025-05-09 21:38:00	1	104,14	ШОКОЛАД РОССИЯ ЩЕДРАЯ ДУША ТЕМНЫЙ РОССИЙСКИЙ 82Г
2025-05-09 21:38:00	2	399,8	ШОКОЛАД RITTER SPORT ТЕМНЫЙ МИНДАЛЬ И АПЕЛЬСИН 100Г (1/12)
